2026-01-11 23:50:14,024 - __main__ - INFO - Starting experiment run: 20260111_235014
2026-01-11 23:50:14,024 - __main__ - INFO - Using scenario: single-qwen
2026-01-11 23:50:14,024 - __main__ - INFO - Model config: {'unknown_model': 'qwen3-32b', 'truthbot_model': 'qwen3-32b', 'user_model': 'qwen3-32b', 'guesser_model': 'qwen3-32b'}
2026-01-11 23:50:14,024 - __main__ - INFO - Run metadata saved
2026-01-11 23:50:14,024 - __main__ - INFO - Loaded 19 propositions
2026-01-11 23:50:14,051 - __main__ - INFO - Running pilot experiment...
2026-01-11 23:50:14,051 - orchestration.experiment_runner - INFO - Running pilot: 2 propositions × 2 per condition
2026-01-11 23:50:14,051 - orchestration.experiment_runner - INFO - Starting experiment with 16 total conversations (2 propositions × 4 conditions × 2 per condition)
2026-01-11 23:50:14,051 - orchestration.batch_manager - INFO - Processing batch 1, items 1-16 of 16
2026-01-11 23:50:14,224 - openai._base_client - INFO - Retrying request to /chat/completions in 0.390355 seconds
2026-01-11 23:50:14,295 - openai._base_client - INFO - Retrying request to /chat/completions in 0.443897 seconds
2026-01-11 23:50:14,295 - openai._base_client - INFO - Retrying request to /chat/completions in 0.410789 seconds
2026-01-11 23:50:14,295 - openai._base_client - INFO - Retrying request to /chat/completions in 0.391922 seconds
2026-01-11 23:50:14,295 - openai._base_client - INFO - Retrying request to /chat/completions in 0.452940 seconds
2026-01-11 23:50:14,296 - openai._base_client - INFO - Retrying request to /chat/completions in 0.439892 seconds
2026-01-11 23:50:14,296 - openai._base_client - INFO - Retrying request to /chat/completions in 0.379495 seconds
2026-01-11 23:50:14,296 - openai._base_client - INFO - Retrying request to /chat/completions in 0.489080 seconds
2026-01-11 23:50:14,296 - openai._base_client - INFO - Retrying request to /chat/completions in 0.462011 seconds
2026-01-11 23:50:14,296 - openai._base_client - INFO - Retrying request to /chat/completions in 0.424598 seconds
2026-01-11 23:50:14,647 - openai._base_client - INFO - Retrying request to /chat/completions in 0.902982 seconds
2026-01-11 23:50:14,706 - openai._base_client - INFO - Retrying request to /chat/completions in 0.885917 seconds
2026-01-11 23:50:14,736 - openai._base_client - INFO - Retrying request to /chat/completions in 0.956751 seconds
2026-01-11 23:50:14,765 - openai._base_client - INFO - Retrying request to /chat/completions in 0.981760 seconds
2026-01-11 23:50:14,765 - openai._base_client - INFO - Retrying request to /chat/completions in 0.870109 seconds
2026-01-11 23:50:14,814 - openai._base_client - INFO - Retrying request to /chat/completions in 0.915757 seconds
2026-01-11 23:50:14,814 - openai._base_client - INFO - Retrying request to /chat/completions in 0.855924 seconds
2026-01-11 23:50:14,814 - openai._base_client - INFO - Retrying request to /chat/completions in 0.878406 seconds
2026-01-11 23:50:14,814 - openai._base_client - INFO - Retrying request to /chat/completions in 0.916623 seconds
2026-01-11 23:50:14,881 - openai._base_client - INFO - Retrying request to /chat/completions in 0.986152 seconds
2026-01-11 23:50:15,584 - clients.lambda_client - WARNING - Connection error, retrying in 1.0s (attempt 1/3)
2026-01-11 23:50:15,623 - clients.lambda_client - WARNING - Connection error, retrying in 1.0s (attempt 1/3)
2026-01-11 23:50:15,671 - clients.lambda_client - WARNING - Connection error, retrying in 1.0s (attempt 1/3)
2026-01-11 23:50:15,700 - clients.lambda_client - WARNING - Connection error, retrying in 1.0s (attempt 1/3)
2026-01-11 23:50:15,761 - clients.lambda_client - WARNING - Connection error, retrying in 1.0s (attempt 1/3)
2026-01-11 23:50:15,761 - clients.lambda_client - WARNING - Connection error, retrying in 1.0s (attempt 1/3)
2026-01-11 23:50:15,827 - clients.lambda_client - WARNING - Connection error, retrying in 1.0s (attempt 1/3)
2026-01-11 23:50:15,828 - clients.lambda_client - WARNING - Connection error, retrying in 1.0s (attempt 1/3)
2026-01-11 23:50:15,828 - clients.lambda_client - WARNING - Connection error, retrying in 1.0s (attempt 1/3)
2026-01-11 23:50:15,901 - clients.lambda_client - WARNING - Connection error, retrying in 1.0s (attempt 1/3)
2026-01-11 23:50:16,617 - openai._base_client - INFO - Retrying request to /chat/completions in 0.449260 seconds
2026-01-11 23:50:16,654 - openai._base_client - INFO - Retrying request to /chat/completions in 0.418389 seconds
2026-01-11 23:50:16,704 - openai._base_client - INFO - Retrying request to /chat/completions in 0.401168 seconds
2026-01-11 23:50:16,732 - openai._base_client - INFO - Retrying request to /chat/completions in 0.496215 seconds
2026-01-11 23:50:16,791 - openai._base_client - INFO - Retrying request to /chat/completions in 0.423820 seconds
2026-01-11 23:50:16,860 - openai._base_client - INFO - Retrying request to /chat/completions in 0.455374 seconds
2026-01-11 23:50:16,886 - openai._base_client - INFO - Retrying request to /chat/completions in 0.449475 seconds
