2026-01-12 08:38:07,496 - __main__ - INFO - Starting experiment run: 20260112_083807
2026-01-12 08:38:07,496 - __main__ - INFO - Using scenario: user-eq-guesser
2026-01-12 08:38:07,496 - __main__ - INFO - Model config: {'unknown_model': 'qwen3-32b', 'truthbot_model': 'gpt-oss-120b', 'user_model': 'hermes-70b', 'guesser_model': 'hermes-70b'}
2026-01-12 08:38:07,497 - __main__ - INFO - Run metadata saved
2026-01-12 08:38:07,497 - __main__ - INFO - Loaded 15 propositions
2026-01-12 08:38:07,523 - __main__ - INFO - Running full experiment...
2026-01-12 08:38:07,525 - orchestration.experiment_runner - INFO - Starting experiment with 3000 total conversations (15 propositions × 4 conditions × 50 per condition)
2026-01-12 08:38:07,525 - orchestration.batch_manager - INFO - Processing batch 1, items 1-20 of 3000
2026-01-12 08:38:07,530 - clients.lambda_client - INFO - Created client for model hermes-70b at http://localhost:8002/v1
2026-01-12 08:38:07,704 - openai._base_client - INFO - Retrying request to /chat/completions in 0.494398 seconds
2026-01-12 08:38:07,704 - openai._base_client - INFO - Retrying request to /chat/completions in 0.411968 seconds
2026-01-12 08:38:07,704 - openai._base_client - INFO - Retrying request to /chat/completions in 0.487983 seconds
2026-01-12 08:38:07,704 - openai._base_client - INFO - Retrying request to /chat/completions in 0.431119 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.470949 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.437966 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.399880 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.394403 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.386412 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.482563 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.468007 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.473226 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.464153 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.401490 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.432572 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.496005 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.486618 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.466983 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.444445 seconds
2026-01-12 08:38:07,705 - openai._base_client - INFO - Retrying request to /chat/completions in 0.435139 seconds
2026-01-12 08:38:08,120 - openai._base_client - INFO - Retrying request to /chat/completions in 0.922046 seconds
2026-01-12 08:38:08,150 - openai._base_client - INFO - Retrying request to /chat/completions in 0.787193 seconds
