2026-01-12 08:38:09,903 - __main__ - INFO - Starting experiment run: 20260112_083809
2026-01-12 08:38:09,903 - __main__ - INFO - Using scenario: unknown-eq-truthbot
2026-01-12 08:38:09,903 - __main__ - INFO - Model config: {'unknown_model': 'qwen3-32b', 'truthbot_model': 'qwen3-32b', 'user_model': 'hermes-70b', 'guesser_model': 'gpt-oss-120b'}
2026-01-12 08:38:09,903 - __main__ - INFO - Run metadata saved
2026-01-12 08:38:09,903 - __main__ - INFO - Loaded 15 propositions
2026-01-12 08:38:09,928 - __main__ - INFO - Running full experiment...
2026-01-12 08:38:09,930 - orchestration.experiment_runner - INFO - Starting experiment with 3000 total conversations (15 propositions × 4 conditions × 50 per condition)
2026-01-12 08:38:09,930 - orchestration.batch_manager - INFO - Processing batch 1, items 1-20 of 3000
2026-01-12 08:38:09,934 - clients.lambda_client - INFO - Created client for model hermes-70b at http://localhost:8002/v1
2026-01-12 08:38:10,094 - openai._base_client - INFO - Retrying request to /chat/completions in 0.405856 seconds
2026-01-12 08:38:10,094 - openai._base_client - INFO - Retrying request to /chat/completions in 0.453037 seconds
2026-01-12 08:38:10,094 - openai._base_client - INFO - Retrying request to /chat/completions in 0.484681 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.389620 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.458954 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.406060 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.485883 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.466226 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.468132 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.478595 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.445462 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.428915 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.385657 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.401473 seconds
2026-01-12 08:38:10,125 - openai._base_client - INFO - Retrying request to /chat/completions in 0.435003 seconds
2026-01-12 08:38:10,126 - openai._base_client - INFO - Retrying request to /chat/completions in 0.386291 seconds
2026-01-12 08:38:10,126 - openai._base_client - INFO - Retrying request to /chat/completions in 0.395836 seconds
2026-01-12 08:38:10,126 - openai._base_client - INFO - Retrying request to /chat/completions in 0.407137 seconds
2026-01-12 08:38:10,126 - openai._base_client - INFO - Retrying request to /chat/completions in 0.498058 seconds
2026-01-12 08:38:10,126 - openai._base_client - INFO - Retrying request to /chat/completions in 0.489821 seconds
2026-01-12 08:38:10,562 - openai._base_client - INFO - Retrying request to /chat/completions in 0.811660 seconds
2026-01-12 08:38:10,563 - openai._base_client - INFO - Retrying request to /chat/completions in 0.883796 seconds
2026-01-12 08:38:10,563 - openai._base_client - INFO - Retrying request to /chat/completions in 0.880177 seconds
2026-01-12 08:38:10,563 - openai._base_client - INFO - Retrying request to /chat/completions in 0.763054 seconds
2026-01-12 08:38:10,563 - openai._base_client - INFO - Retrying request to /chat/completions in 0.952907 seconds
2026-01-12 08:38:10,563 - openai._base_client - INFO - Retrying request to /chat/completions in 0.992725 seconds
2026-01-12 08:38:10,597 - openai._base_client - INFO - Retrying request to /chat/completions in 0.783678 seconds
2026-01-12 08:38:10,597 - openai._base_client - INFO - Retrying request to /chat/completions in 0.847532 seconds
2026-01-12 08:38:10,597 - openai._base_client - INFO - Retrying request to /chat/completions in 0.961155 seconds
2026-01-12 08:38:10,597 - openai._base_client - INFO - Retrying request to /chat/completions in 0.840271 seconds
2026-01-12 08:38:10,624 - openai._base_client - INFO - Retrying request to /chat/completions in 0.765374 seconds
2026-01-12 08:38:10,625 - openai._base_client - INFO - Retrying request to /chat/completions in 0.786434 seconds
2026-01-12 08:38:10,626 - openai._base_client - INFO - Retrying request to /chat/completions in 0.776307 seconds
2026-01-12 08:38:10,626 - openai._base_client - INFO - Retrying request to /chat/completions in 0.997680 seconds
2026-01-12 08:38:10,652 - openai._base_client - INFO - Retrying request to /chat/completions in 0.826843 seconds
2026-01-12 08:38:10,653 - openai._base_client - INFO - Retrying request to /chat/completions in 0.912209 seconds
